,Tokens,Occurences
380,jk,"[('3Carrie.txt', 1)]"
381,prepar,"[('1Amy.txt', 2), ('2Ben.txt', 5), ('3Carrie.txt', 1)]"
382,monthli,"[('1Amy.txt', 2), ('2Ben.txt', 1), ('3Carrie.txt', 1)]"
383,confirm,"[('2Ben.txt', 1)]"
384,transfer,"[('2Ben.txt', 1)]"
385,bill,"[('2Ben.txt', 1)]"
386,educ,"[('1Amy.txt', 1), ('2Ben.txt', 1), ('3Carrie.txt', 1)]"
387,daili,"[('1Amy.txt', 2), ('2Ben.txt', 3), ('3Carrie.txt', 1)]"
388,actual,"[('2Ben.txt', 1)]"
389,relationship,"[('1Amy.txt', 1), ('2Ben.txt', 2)]"
390,accout,"[('2Ben.txt', 1)]"
391,profession,"[('2Ben.txt', 1), ('3Carrie.txt', 1)]"
392,rmit,"[('1Amy.txt', 1)]"
393,includ,"[('1Amy.txt', 1), ('2Ben.txt', 4)]"
394,otc,"[('2Ben.txt', 1)]"
395,colleagu,"[('2Ben.txt', 1), ('3Carrie.txt', 2)]"
396,technolog,"[('1Amy.txt', 1), ('3Carrie.txt', 2)]"
397,studi,"[('2Ben.txt', 1)]"
398,2,"[('1Amy.txt', 1), ('3Carrie.txt', 4)]"
399,com,"[('1Amy.txt', 3), ('2Ben.txt', 1), ('3Carrie.txt', 1)]"
400,mandarin,"[('2Ben.txt', 1), ('3Carrie.txt', 1)]"
401,spoken,"[('1Amy.txt', 1), ('3Carrie.txt', 1)]"
402,final,"[('1Amy.txt', 3)]"
403,superior,"[('1Amy.txt', 1)]"
404,nearli,"[('1Amy.txt', 1)]"
405,structur,"[('3Carrie.txt', 1)]"
406,compani,"[('3Carrie.txt', 1)]"
407,devis,"[('3Carrie.txt', 1)]"
408,posit,"[('1Amy.txt', 1), ('2Ben.txt', 2)]"
409,2022,"[('1Amy.txt', 1), ('2Ben.txt', 1), ('3Carrie.txt', 1)]"
410,malay,"[('2Ben.txt', 1)]"
411,ben,"[('2Ben.txt', 1)]"
412,flow,"[('3Carrie.txt', 1)]"
413,troubl,"[('1Amy.txt', 1)]"
414,level,"[('1Amy.txt', 2), ('2Ben.txt', 2), ('3Carrie.txt', 3)]"
415,temasek,"[('1Amy.txt', 1)]"
416,order,"[('2Ben.txt', 1)]"
